candidate_index	unit_index	operator_type	module	state_name	bias_state	weight_shape	parameter_count	output_shape	feature_count	image_count	raw_cross_l1	raw_natural_l1	product_score	activation_path	activation_sha256	activation_bytes	query_source_indices_sha256
3	6	conv_weight	layer1.0.conv1	layer1.0.conv1.weight		64×64×3×3	36864	64×8×8	4096	500	3346.094801513672	4494.687395507813	15039650.128537716	results/playground/01_raw/activations/unit_006.pt	ff2574eaad0454604b3f3403be12d309b0ea037613543619e9813ff4eda3491c	40962608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
5	12	conv_weight	layer1.0.conv2	layer1.0.conv2.weight		64×64×3×3	36864	64×8×8	4096	500	1190.6853048095704	1474.4888037109374	1755652.1506848563	results/playground/01_raw/activations/unit_012.pt	b4d8483fcb8203ec6ae0506372c84ec27abec1aa0988f1ece43012797d354568	40962608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
7	18	conv_weight	layer1.1.conv1	layer1.1.conv1.weight		64×64×3×3	36864	64×8×8	4096	500	3234.180263671875	5098.517309570312	16489524.05660173	results/playground/01_raw/activations/unit_018.pt	613ccd3ec7cfd78d2ea57bd89b9d308a5420305d0b24f4f36c005708fbc21172	40962608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
9	24	conv_weight	layer1.1.conv2	layer1.1.conv2.weight		64×64×3×3	36864	64×8×8	4096	500	1055.389337890625	1246.0903572998047	1315110.4771425333	results/playground/01_raw/activations/unit_024.pt	87c2d043b0278f5efa915bf2b64e7f93a3e549a5f14213b87c1e0bf1495bf321	40962608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
11	30	conv_weight	layer2.0.conv1	layer2.0.conv1.weight		128×64×3×3	73728	128×4×4	2048	500	1853.449960205078	2401.8024338378905	4451620.625417298	results/playground/01_raw/activations/unit_030.pt	7f2883d3b238c212e72a09c37fa73c61d23cb039a4ade3634a8c826ce7b1b2aa	20482608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
13	36	conv_weight	layer2.0.conv2	layer2.0.conv2.weight		128×128×3×3	147456	128×4×4	2048	500	708.1974619140625	883.5646138916015	625738.2169951109	results/playground/01_raw/activations/unit_036.pt	ee35cf7a6aba1ad1d2653dfa4e55239d450bb0738013c97bdf6b81fedd0fbd7f	20482608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
17	48	conv_weight	layer2.1.conv1	layer2.1.conv1.weight		128×128×3×3	147456	128×4×4	2048	500	1008.3013720703125	1409.9578081054688	1421662.3924739945	results/playground/01_raw/activations/unit_048.pt	c494add2e307f9d62f19e99e57898ebbfe393520892c6e5e7ebc77551615239f	20482608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
19	54	conv_weight	layer2.1.conv2	layer2.1.conv2.weight		128×128×3×3	147456	128×4×4	2048	500	573.9413217163086	535.3300103149414	307248.0136745626	results/playground/01_raw/activations/unit_054.pt	9de00dbe04d73fabe103b2c18ab9b54cf20020bdb8a95479a661fc3012732609	20482608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
21	60	conv_weight	layer3.0.conv1	layer3.0.conv1.weight		256×128×3×3	294912	256×2×2	1024	500	699.6062824707031	788.1605400390625	551402.0654068303	results/playground/01_raw/activations/unit_060.pt	af3c57ebdc7b6ebe48a41482562c8185eac1b2e357034a58687f8921d129523c	10242608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
23	66	conv_weight	layer3.0.conv2	layer3.0.conv2.weight		256×256×3×3	589824	256×2×2	1024	500	488.9070841064453	482.90595135498046	236096.14057461242	results/playground/01_raw/activations/unit_066.pt	f2eb9756e35f29208d864a04a11a1f9e3de709f9e11d0e9fff983458d896b44d	10242608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
27	78	conv_weight	layer3.1.conv1	layer3.1.conv1.weight		256×256×3×3	589824	256×2×2	1024	500	334.8606267700195	477.5222607421875	159903.40352876557	results/playground/01_raw/activations/unit_078.pt	14312686c5b6bc60c2d6b6e5600583f95a9be27f3c3a4cdaf31dcce0cdf986bc	10242608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
29	84	conv_weight	layer3.1.conv2	layer3.1.conv2.weight		256×256×3×3	589824	256×2×2	1024	500	138.0755456237793	142.49269697570801	19674.75688232473	results/playground/01_raw/activations/unit_084.pt	ba25c19382c35234199f909ab7f141f6ea69928ba27e3a256a2b248c5fa91a77	10242608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
31	90	conv_weight	layer4.0.conv1	layer4.0.conv1.weight		512×256×3×3	1179648	512×1×1	512	500	262.45557778930663	271.7561067199707	71323.9060069624	results/playground/01_raw/activations/unit_090.pt	f352988b5cf2dba62dbf63a9bdf4cff9acee1951e489236aeffe2000139437a4	5122608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
33	96	conv_weight	layer4.0.conv2	layer4.0.conv2.weight		512×512×3×3	2359296	512×1×1	512	500	99.67806544494628	85.04791833496094	8477.411969748684	results/playground/01_raw/activations/unit_096.pt	011872284bf45f5e3082c0fe389436b9caff5e4a1636e4ef4ba61e1aa9693ae0	5122608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
37	108	conv_weight	layer4.1.conv1	layer4.1.conv1.weight		512×512×3×3	2359296	512×1×1	512	500	246.204177734375	251.4321505126953	61903.64587296376	results/playground/01_raw/activations/unit_108.pt	4bc79563e0620af2edc814276140cf78b5e6c6a72fc5c50d2f35780764076d0d	5122608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
39	114	conv_weight	layer4.1.conv2	layer4.1.conv2.weight		512×512×3×3	2359296	512×1×1	512	500	67.48876429748535	28.72629619598389	1938.7022331105065	results/playground/01_raw/activations/unit_114.pt	7b43abb3a3b84046e805d9793c2f1c93eff2c40f6bfb9137a6716a7f08274f81	5122608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
